año|localidad|quinquenio|poblacion|atendidos|indicador_atendidos
2023|6 - Tunjuelito|15 a 19|11671|1023|0.08765315739868049010
2023|7 - Bosa|15 a 19|54711|6237|0.11399901299555848001
2023|8 - Kennedy|15 a 19|70102|4280|0.06105389289891871844
2023|9 - Fontibón|15 a 19|24763|172|0.00694584662601461858
2023|10 - Engativá|20 a 24|64572|1440|0.02230068760453447315
2023|11 - Suba|20 a 24|102041|5326|0.05219470604952911085
2023|12 - Barrios Unidos|20 a 24|11139|174|0.01562079181255049825
2023|13 - Teusaquillo|20 a 24|11015|18|0.00163413527008624603
2023|14 - Los Mártires|20 a 24|7315|329|0.04497607655502392344
2023|15 - Antonio Nariño|20 a 24|6555|242|0.03691838291380625477
2023|16 - Puente Aranda|20 a 24|19428|319|0.01641960057648754375
2023|17 - La Candelaria|20 a 24|2119|83|0.03916941953751769703
2023|18 - Rafael Uribe Uribe|20 a 24|31430|1938|0.06166083359847279669
2023|19 - Ciudad Bolívar|20 a 24|57481|2292|0.03987404533671995964
2023|1 - Usaquén|20 a 24|40459|831|0.02053931140166588398
2023|20 - Sumapaz|20 a 24|286|123|0.43006993006993006993
2023|2 - Chapinero|20 a 24|11728|67|0.00571282401091405184
2023|3 - Santa Fe|20 a 24|9748|925|0.09489125974558883874
2023|4 - San Cristóbal|20 a 24|34134|1756|0.05144430772836468038
2023|5 - Usme|20 a 24|35983|5110|0.14201150543312119612
2023|6 - Tunjuelito|20 a 24|14953|1689|0.11295392228984150338
2023|7 - Bosa|20 a 24|64773|7621|0.11765704846155033733
2023|8 - Kennedy|20 a 24|85493|6519|0.07625185687717123039
2023|9 - Fontibón|20 a 24|31864|335|0.01051343208636706001
2023|10 - Engativá|25 a 29|79621|1768|0.02220519712136245463
2023|11 - Suba|25 a 29|122999|6507|0.05290286912901730908
2023|12 - Barrios Unidos|25 a 29|14921|181|0.01213055425239595201
2023|13 - Teusaquillo|25 a 29|16285|22|0.00135093644458090267
2023|14 - Los Mártires|25 a 29|9763|384|0.03933217248796476493
2023|15 - Antonio Nariño|25 a 29|8004|351|0.04385307346326836582
2023|16 - Puente Aranda|25 a 29|24750|376|0.01519191919191919192
2023|17 - La Candelaria|25 a 29|1722|94|0.05458768873403019744
2023|18 - Rafael Uribe Uribe|25 a 29|36994|2393|0.06468616532410661188
2023|19 - Ciudad Bolívar|25 a 29|64243|2442|0.03801192347804430055
2023|1 - Usaquén|25 a 29|51185|944|0.01844290319429520367
2023|20 - Sumapaz|25 a 29|280|162|0.57857142857142857143
2023|2 - Chapinero|25 a 29|17737|90|0.00507413880588600101
2023|3 - Santa Fe|25 a 29|11539|965|0.08362943062657076003
2023|4 - San Cristóbal|25 a 29|38833|2038|0.05248113717714315144
2023|5 - Usme|25 a 29|39532|5940|0.15025801882019629667
2023|6 - Tunjuelito|25 a 29|18057|1863|0.10317328459877055989
2023|7 - Bosa|25 a 29|73059|7767|0.10631133741222847288
2023|8 - Kennedy|25 a 29|100746|7386|0.07331308439044726341
2023|9 - Fontibón|25 a 29|38827|370|0.00952945115512401164
2023|10 - Engativá|30 a 34|76709|1725|0.02248758294333129098
2023|11 - Suba|30 a 34|115257|6325|0.05487736102796359440
2023|12 - Barrios Unidos|30 a 34|14809|192|0.01296508879735296104
2023|13 - Teusaquillo|30 a 34|17341|20|0.00115333602445072372
2023|14 - Los Mártires|30 a 34|8877|320|0.03604821448687619691
2023|15 - Antonio Nariño|30 a 34|7318|379|0.05179010658649904345
2023|16 - Puente Aranda|30 a 34|23508|331|0.01408031308490726561
2023|17 - La Candelaria|30 a 34|1546|82|0.05304010349288486417
2023|18 - Rafael Uribe Uribe|30 a 34|34313|2542|0.07408270917727974820
2023|19 - Ciudad Bolívar|30 a 34|57483|2454|0.04269088252178905068
2023|1 - Usaquén|30 a 34|51125|885|0.01731051344743276284
2023|20 - Sumapaz|30 a 34|271|158|0.58302583025830258303
2023|2 - Chapinero|30 a 34|19390|80|0.00412583806085611140
2023|3 - Santa Fe|30 a 34|10715|992|0.09258049463369108726
2023|4 - San Cristóbal|30 a 34|34705|1970|0.05676415502089036162
2023|5 - Usme|30 a 34|34430|5757|0.16720882950914899797
2023|6 - Tunjuelito|30 a 34|16542|1840|0.11123201547575867489
2023|7 - Bosa|30 a 34|65620|7650|0.11658031088082901554
2023|8 - Kennedy|30 a 34|93364|6888|0.07377575939334218757
2023|9 - Fontibón|30 a 34|36382|378|0.01038975317464680336
2023|10 - Engativá|35 a 39|67251|1558|0.02316694175551292918
2023|11 - Suba|35 a 39|102302|5704|0.05575648569920431663
2023|12 - Barrios Unidos|35 a 39|13362|130|0.00972908247268372998
2023|13 - Teusaquillo|35 a 39|15679|13|0.00082913451112953632
2023|14 - Los Mártires|35 a 39|7132|278|0.03897924845765563657
2023|15 - Antonio Nariño|35 a 39|6512|300|0.04606879606879606880
2023|16 - Puente Aranda|35 a 39|20074|336|0.01673806914416658364
2023|17 - La Candelaria|35 a 39|1406|96|0.06827880512091038407
2023|18 - Rafael Uribe Uribe|35 a 39|29803|2269|0.07613327517364023756
2023|19 - Ciudad Bolívar|35 a 39|51368|2123|0.04132923220682136739
2023|1 - Usaquén|35 a 39|48896|741|0.01515461387434554974
2023|20 - Sumapaz|35 a 39|259|160|0.61776061776061776062
2023|2 - Chapinero|35 a 39|18523|61|0.00329320304486314312
2023|3 - Santa Fe|35 a 39|9044|860|0.09509066784608580274
2023|4 - San Cristóbal|35 a 39|29992|1796|0.05988263536943184849
2023|5 - Usme|35 a 39|30332|5285|0.17423842806277198998
2023|6 - Tunjuelito|35 a 39|14128|1579|0.11176387315968289921
2023|7 - Bosa|35 a 39|57111|6948|0.12165782423701213426
2023|8 - Kennedy|35 a 39|83291|6199|0.07442580831062179587
2023|9 - Fontibón|35 a 39|33085|326|0.00985340788877134653
2023|10 - Engativá|40 a 44|60536|1556|0.02570371349279767411
2023|11 - Suba|40 a 44|96110|5325|0.05540526480074914161
2023|12 - Barrios Unidos|40 a 44|11734|141|0.01201636270666439407
