año|localidad|quinquenio|poblacion|atendidos|indicador_atendidos
2023|6 - Tunjuelito|15 a 19|11671|1024|0.08773883985948076429
2023|7 - Bosa|15 a 19|54711|6234|0.11394417941547403630
2023|8 - Kennedy|15 a 19|70102|4272|0.06093977347293943111
2023|9 - Fontibón|15 a 19|24763|172|0.00694584662601461858
2023|10 - Engativá|20 a 24|64572|1437|0.02225422783869169299
2023|11 - Suba|20 a 24|102041|5320|0.05213590615536892034
2023|12 - Barrios Unidos|20 a 24|11139|174|0.01562079181255049825
2023|13 - Teusaquillo|20 a 24|11015|18|0.00163413527008624603
2023|14 - Los Mártires|20 a 24|7315|329|0.04497607655502392344
2023|15 - Antonio Nariño|20 a 24|6555|242|0.03691838291380625477
2023|16 - Puente Aranda|20 a 24|19428|320|0.01647107267860819436
2023|17 - La Candelaria|20 a 24|2119|83|0.03916941953751769703
2023|18 - Rafael Uribe Uribe|20 a 24|31430|1937|0.06162901686286986955
2023|19 - Ciudad Bolívar|20 a 24|57481|2290|0.03983925123084149545
2023|1 - Usaquén|20 a 24|40459|831|0.02053931140166588398
2023|20 - Sumapaz|20 a 24|286|123|0.43006993006993006993
2023|2 - Chapinero|20 a 24|11728|68|0.00579809004092769441
2023|3 - Santa Fe|20 a 24|9748|923|0.09468608945424702503
2023|4 - San Cristóbal|20 a 24|34134|1752|0.05132712251713833714
2023|5 - Usme|20 a 24|35983|5116|0.14217825084067476308
2023|6 - Tunjuelito|20 a 24|14953|1689|0.11295392228984150338
2023|7 - Bosa|20 a 24|64773|7638|0.11791950349682738178
2023|8 - Kennedy|20 a 24|85493|6532|0.07640391611009088463
2023|9 - Fontibón|20 a 24|31864|332|0.01041928194828019081
2023|10 - Engativá|25 a 29|79621|1768|0.02220519712136245463
2023|11 - Suba|25 a 29|122999|6504|0.05287847868681859202
2023|12 - Barrios Unidos|25 a 29|14921|181|0.01213055425239595201
2023|13 - Teusaquillo|25 a 29|16285|22|0.00135093644458090267
2023|14 - Los Mártires|25 a 29|9763|382|0.03912731742292328178
2023|15 - Antonio Nariño|25 a 29|8004|352|0.04397801099450274863
2023|16 - Puente Aranda|25 a 29|24750|376|0.01519191919191919192
2023|17 - La Candelaria|25 a 29|1722|94|0.05458768873403019744
2023|18 - Rafael Uribe Uribe|25 a 29|36994|2394|0.06471319673460561172
2023|19 - Ciudad Bolívar|25 a 29|64243|2442|0.03801192347804430055
2023|1 - Usaquén|25 a 29|51185|942|0.01840382924684966299
2023|20 - Sumapaz|25 a 29|280|162|0.57857142857142857143
2023|2 - Chapinero|25 a 29|17737|90|0.00507413880588600101
2023|3 - Santa Fe|25 a 29|11539|967|0.08380275587139266834
2023|4 - San Cristóbal|25 a 29|38833|2041|0.05255839105915072232
2023|5 - Usme|25 a 29|39532|5939|0.15023272285743195386
2023|6 - Tunjuelito|25 a 29|18057|1860|0.10300714404386110650
2023|7 - Bosa|25 a 29|73059|7764|0.10627027470948137806
2023|8 - Kennedy|25 a 29|100746|7381|0.07326345462847160185
2023|9 - Fontibón|25 a 29|38827|374|0.00963247224869291988
2023|10 - Engativá|30 a 34|76709|1724|0.02247454666336414241
2023|11 - Suba|30 a 34|115257|6322|0.05485133224012424408
2023|12 - Barrios Unidos|30 a 34|14809|192|0.01296508879735296104
2023|13 - Teusaquillo|30 a 34|17341|20|0.00115333602445072372
2023|14 - Los Mártires|30 a 34|8877|320|0.03604821448687619691
2023|15 - Antonio Nariño|30 a 34|7318|379|0.05179010658649904345
2023|16 - Puente Aranda|30 a 34|23508|330|0.01403777437468095967
2023|17 - La Candelaria|30 a 34|1546|82|0.05304010349288486417
2023|18 - Rafael Uribe Uribe|30 a 34|34313|2542|0.07408270917727974820
2023|19 - Ciudad Bolívar|30 a 34|57483|2452|0.04265608962649826905
2023|1 - Usaquén|30 a 34|51125|887|0.01734963325183374083
2023|20 - Sumapaz|30 a 34|271|158|0.58302583025830258303
2023|2 - Chapinero|30 a 34|19390|80|0.00412583806085611140
2023|3 - Santa Fe|30 a 34|10715|992|0.09258049463369108726
2023|4 - San Cristóbal|30 a 34|34705|1969|0.05673534072900158479
2023|5 - Usme|30 a 34|34430|5754|0.16712169619517862329
2023|6 - Tunjuelito|30 a 34|16542|1842|0.11135291984040623867
2023|7 - Bosa|30 a 34|65620|7642|0.11645839683023468455
2023|8 - Kennedy|30 a 34|93364|6883|0.07372220556102994730
2023|9 - Fontibón|30 a 34|36382|375|0.01030729481611786048
2023|10 - Engativá|35 a 39|67251|1557|0.02315207208814738814
2023|11 - Suba|35 a 39|102302|5705|0.05576626067916560771
2023|12 - Barrios Unidos|35 a 39|13362|130|0.00972908247268372998
2023|13 - Teusaquillo|35 a 39|15679|13|0.00082913451112953632
2023|14 - Los Mártires|35 a 39|7132|280|0.03925967470555243971
2023|15 - Antonio Nariño|35 a 39|6512|300|0.04606879606879606880
2023|16 - Puente Aranda|35 a 39|20074|333|0.01658862209823652486
2023|17 - La Candelaria|35 a 39|1406|96|0.06827880512091038407
2023|18 - Rafael Uribe Uribe|35 a 39|29803|2269|0.07613327517364023756
